id,combo,source NP,premise,hypothesis,label
6,pri-pri,a plastic toy car,This is a plastic toy car. This is a model.,This is a plastic model.,entailment
12,pri-int,an alleged male criminal,He is an alleged male criminal. He is a student.,He is a male student.,entailment
15,pri-int,false direct evidence,This is false direct evidence. This is information.,This is false information.,entailment
18,pri-int,a former Australian owner,She is a former Australian owner. She is a teacher.,She is an Australian teacher.,entailment
20,pri-int,a fake rhinestone diamond,This is a fake rhinestone diamond. This is a gem.,This is a fake gem.,entailment
21,pri-int,a mythical wild beast,It is a mythical wild beast. It is a creature.,It is a mythical creature.,entailment
22,pri-int,a demolished damaged house,This is a demolished damaged house. This is a building.,This is a demolished building.,entailment
24,pri-int,their fake therapeutic gadgets,These are their fake therapeutic gadgets. These are their products.,These are their fake products.,entailment
47,int-pri,a handmade empty glass,This is a handmade empty glass. This is a container.,This is a handmade container.,entailment
48,int-pri,a handmade empty glass,This is a handmade empty glass. This is a container.,This is an empty container.,entailment
49,int-pri,a yellow rubber duck,This is a yellow rubber duck. This is a toy.,This is a yellow toy.,entailment
50,int-pri,a yellow rubber duck,This is a yellow rubber duck. This is a toy.,This is a rubber toy.,entailment
51,int-int,fragrant red roses,Those are fragrant red roses. Those are flowers.,Those are fragrant flowers.,entailment
52,int-int,fragrant red roses,Those are fragrant red roses. Those are flowers.,Those are red flowers.,entailment
53,int-int,a scarred Iranian soldier,He is a scarred Iranian soldier. He is a man.,He is a scarred man.,entailment
54,int-int,a scarred Iranian soldier,He is a scarred Iranian soldier. He is a man.,He is an Iranian man.,entailment
55,int-int,a vegetarian black snake,This is a vegetarian black snake. This is an animal.,This is a vegetarian animal.,entailment
56,int-int,a vegetarian black snake,This is a vegetarian black snake. This is an animal.,This is a black animal.,entailment
57,int-sub,an angry old man,He is an angry old man. He is a person.,He is an angry person.,entailment
58,int-sub,an angry old man,He is an angry old man. He is a person.,He is an old person.,entailment
60,sub-pri,a cheap fake ring,This is a cheap fake ring. This is a gift.,This is a cheap gift.,entailment
62,sub-pri,a recent unsuccessful coup,This is a recent unsuccessful coup. This is a failure.,This is a recent failure.,entailment
65,sub-pri,soft fake fur,This is soft fake fur. This is a scarf.,This is a soft scarf.,entailment
67,sub-pri,a big stone lion,This is a big stone lion. This is a statue.,This is a stone statue.,entailment
70,sub-int,her new pink gown,This is her new pink gown. This is her dress.,This is her pink dress.,entailment
71,sub-int,his old brown coat,This is his old brown coat. This is his clothing.,This is his old clothing.,entailment
72,sub-int,his old brown coat,This is his old brown coat. This is his clothing.,This is his brown clothing.,entailment
74,sub-int,big pink peonies,Those are big pink peonies. Those are flowers.,Those are pink flowers.,entailment
77,sub-int,old orange groves,Those are old orange groves. Those are trees.,Those are orange trees.,entailment
78,sub-int,a small black pig,It is a small black pig. It is an animal.,It is a black animal.,entailment
79,sub-int,her favorite European designer,He is her favorite European designer. He is a father.,He is a European father.,entailment
80,sub-int,her favorite European designer,He is her favorite European designer. He is a man.,He is a European man.,entailment
82,sub-int,a famous American painter,She is a famous American painter. She is a mother.,She is an American mother.,entailment
84,sub-int,a famous American dancer,She is a famous American dancer. She is a writer.,She is an American writer.,entailment
89,sub-sub,a handsome young president,He is a handsome young president. He is a man.,He is a handsome man.,entailment
91,sub-sub,a handsome young idol,He is a handsome young idol. He is a man.,He is a handsome man.,entailment
92,sub-sub,a handsome young idol,He is a handsome young idol. He is a man.,He is a young man.,entailment
94,sub-sub,a beautiful young woman,She is a beautiful young woman. She is a painter.,She is a young painter.,entailment
95,sub-sub,a beautiful young woman,She is a beautiful young woman. She is a painter.,She is a beautiful painter.,entailment
96,sub-sub,an ugly young actress,She is an ugly young actress. She is a woman.,She is a young woman.,entailment
97,sub-sub,a bright young engineer,She is a bright young engineer. She is a woman.,She is a bright woman.,entailment
98,sub-sub,a bright young engineer,She is a bright young engineer. She is a woman.,She is a young woman.,entailment
100,sub-sub,a good short story,This is a good short story. This is an essay.,This is a good essay.,entailment
101,sub-sub,a good short story,This is a good short story. This is an essay.,This is a short essay.,entailment
106,sub-sub,a big dumb idiot,He is a big dumb idiot. He is a person.,He is a dumb person.,entailment
114,sub-sub,a feverish young boy,He is a feverish young boy. He is a student.,He is a young student.,entailment
4,pri-pri,an expected imminent attack,This is an expected imminent attack. This is an disaster.,This is an expected disaster.,entailment
5,pri-pri,an expected imminent attack,This is an expected imminent attack. This is an disaster.,This is an imminent disaster.,entailment
6,pri-pri,its past wrong practices,Those are its past wrong practices. Those are its crimes.,Those are its past crimes.,entailment
9,pri-pri,several past failed efforts,Those are several past failed efforts. Those are several attempts.,Those are several past attempts.,entailment
10,pri-pri,several past failed efforts,Those are several past failed efforts. Those are several attempts.,Those are several failed attempts.,entailment
11,pri-pri,the past half century,This is the past half century. This is the fifty years.,This is the past fifty years.,entailment
12,pri-pri,his past alleged misdeeds,Those are his past alleged misdeeds. Those are his faults.,Those are his past faults.,entailment
13,pri-pri,their past fraudulent activities,Those are their past fraudulent activities. Those are their wrongdoings.,Those are their past wrongdoings.,entailment
15,pri-pri,their past fraudulent activities,Those are their past fraudulent activities. Those are their crimes.,Those are their past crimes.,entailment
16,pri-pri,her past broken promises,Those are her past broken promises. Those are lies.,Those are past lies.,entailment
22,pri-pri,a previous proposed deal,This is a previous proposed deal. This is a offer.,This is a previous offer.,entailment
24,pri-pri,the previous theoretical limit,This is the previous theoretical limit. This is an underestimation.,This is a theoretical underestimation.,entailment
32,pri-int,his future American wife,She is his future American wife. She is his neighbor.,She is his American neighbor.,entailment
40,pri-sub,previous similar findings,Those are previous similar findings. Those are theories.,Those are previous theories.,entailment
46,pri-sub,an arrogant former young genius,He is an arrogant former young genius. He is a man.,He is an arrogant man.,entailment
48,int-sub,an extinct ancient animal,This is an extinct ancient animal. This is a species.,This is an extinct species.,entailment
49,int-sub,an extinct ancient animal,This is an extinct ancient animal. This is a species.,This is an ancient species.,entailment
50,int-sub,an original hard copy,This is an original hard copy. This is a file.,This is an original file.,entailment
53,sub-int,a famous American painter,She is a famous American painter. She is an artist.,She is a famous artist.,entailment
54,sub-int,a famous American painter,She is a famous American painter. She is an artist.,She is an American artist.,entailment
56,sub-int,a tall 12-year-old child,He is a tall 12-year-old child. He is a boy.,He is a tall boy.,entailment
57,sub-int,a tall 12-year-old child,He is a tall 12-year-old child. He is a boy.,He is a 12-year-old boy.,entailment
59,sub-int,a short American basketball player,He is a short American basketball player. He is a man.,He is an American man.,entailment
60,sub-int,a short American ping-pong player,He is a short American ping-pong player. He is a man.,He is an American man.,entailment
61,sub-int,a short American ping-pong player,He is a short American ping-pong player. He is a man.,He is a short man.,entailment
63,sub-int,a young national idol,He is a young national idol. He is a man.,He is a young man.,entailment
65,sub-int,a new Renaissance exhibit,This is a new Renaissance exhibit. This is a handicraft.,This is a Renaissance handicraft.,entailment
66,sub-int,a recent financial crisis,This is a recent financial crisis. This is an event.,This is a recent event.,entailment
68,sub-int,a big black ant,It is a big black ant. It is an animal.,It is a black animal.,entailment
69,sub-int,a big black ant,It is a big black ant. It is an insect.,It is a big insect.,entailment
70,sub-int,a big black ant,It is a big black ant. It is an insect.,It is a black insect.,entailment
72,sub-int,a small gray elephant,It is a small gray elephant. It is an animal.,It is a gray animal.,entailment
74,sub-int,a heavy newborn baby,She is a heavy newborn baby. She is a human being.,She is a newborn human being.,entailment
75,sub-int,a heavy newborn baby,She is a heavy newborn baby. She is an infant.,She is a heavy infant.,entailment
76,sub-int,a heavy newborn baby,She is a heavy newborn baby. She is an infant.,She is a newborn infant.,entailment
